title,arxiv,github,project_page,hugging_face,blog
Segment Anything in High Quality,2306.01567,SysCV/sam-hq,,https://huggingface.co/spaces/sam-hq-team/sam-hq,https://supervisely.com/blog/segment-anything-in-high-quality-HQ-SAM/
Segment Everything Everywhere All at Once,2304.06718,UX-Decoder/Segment-Everything-Everywhere-All-At-Once,,,
Photoswap: Personalized Subject Swapping in Images,2305.18286,eric-ai-lab/photoswap,https://photoswap.github.io/,,
ResShift: Efficient Diffusion Model for Image Super-resolution by Residual Shifting,2307.12348,zsyOAOA/ResShift,https://zsyoaoa.github.io/projects/resshift/,,https://www.marktechpost.com/2023/08/01/ntu-singapore-researchers-introduce-resshift-a-new-upscaler-model-that-uses-residual-shifting-and-achieves-image-super-resolution-faster-compared-to-other-methods/
DreamSim: Learning New Dimensions of Human Visual Similarity using Synthetic Data,2306.09344,ssundaram21/dreamsim,https://dreamsim-nights.github.io/,,https://medium.com/voxel51/teaching-androids-to-dream-of-sheep-18d72f44f2b
MVDiffusion: Enabling Holistic Multi-view Image Generation with Correspondence-Aware Diffusion,2307.01097,Tangshitao/MVDiffusion,https://mvdiffusion.github.io/,,
Michelangelo: Conditional 3D Shape Generation based on Shape-Image-Text Aligned Latent Representation,2306.17115,NeuralCarver/Michelangelo,https://neuralcarver.github.io/michelangelo/,,
Segment Anything in 3D with NeRFs,2304.12308,Jumpat/SegmentAnythingin3D,https://jumpat.github.io/SA3D/,,https://www.marktechpost.com/2023/05/22/when-sam-meets-nerf-this-ai-model-can-segment-anything-in-3d/
Motion-X: A Large-scale 3D Expressive Whole-body Human Motion Dataset,2307.00818,IDEA-Research/Motion-X,https://motion-x-dataset.github.io/,,
Reflexion: Language Agents with Verbal Reinforcement Learning,2303.11366,noahshinn/reflexion,,,https://nanothoughts.substack.com/p/reflecting-on-reflexion
Augmenting Language Models with Long-Term Memory,2306.07174,Victorwz/LongMem,,,
Unlimiformer: Long-Range Transformers with Unlimited Length Input,2305.01625,abertsch72/unlimiformer,,,https://pub.towardsai.net/unlimiformer-long-range-transformers-with-unlimited-length-input-3725f69b0d03?gi=86f7474233cb
LLM-Pruner: On the Structural Pruning of Large Language Models,2305.11627,horseee/LLM-Pruner,,,
Self-Refine: Iterative Refinement with Self-Feedback,2303.17651,madaan/self-refine,https://selfrefine.info/,,https://www.marktechpost.com/2023/04/07/this-ai-paper-introduce-self-refine-a-framework-for-improving-initial-outputs-from-llms-through-iterative-feedback-and-refinement/
Toolformer: Language Models Can Teach Themselves to Use Tools,2302.04761,,,,https://kikaben.com/toolformer-2023/
Judging LLM-as-a-Judge with MT-Bench and Chatbot Arena,2306.05685,lm-sys/FastChat/tree/main/fastchat/llm_judge,,,
Mathematical Capabilities of ChatGPT,2301.13867,friederrr/GHOSTS,https://ghosts.friederrr.org/,,
QLoRA: Efficient Finetuning of Quantized LLMs,2305.14314,artidoro/qlora,,https://huggingface.co/spaces/uwnlp/guanaco-playground-tgi,https://medium.com/@dariussingh/qlora-a-new-way-to-finetune-llms-4a5ff292903d
LIMA: Less Is More for Alignment,2305.11206,,,,https://medium.com/version-1/comprehensive-analysis-of-lima-less-is-more-for-alignment-8967687ea432
